kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 1 , 13(0) ,47(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 2 , 2(0) ,52(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 3 , 3(0) ,27(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 2(2) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 4 , 4(0) ,52(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 5 , 5(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 3(3) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 6 , 6(0) ,60(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 7 , 7(0) ,56(0)
kl: 8 , 4(6) ,56(0)
kl: 8 , 4(6) ,56(0)
kl: 8 , 4(5) ,56(0)
kl: 8 , 4(4) ,56(0)
kl: 8 , 4(6) ,56(0)
kl: 8 , 4(5) ,56(0)
kl: 8 , 4(6) ,56(0)
kl: 8 , 4(5) ,56(0)
kl: 8 , 4(5) ,56(0)
kl: 8 , 4(4) ,56(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 9 , 9(0) ,27(0)
kl: 10 , 10(0) ,60(0)
kl: 10 , 5(6) ,60(0)
kl: 10 , 10(0) ,60(0)
kl: 10 , 5(8) ,60(0)
kl: 10 , 5(5) ,60(0)
kl: 10 , 10(0) ,60(0)
kl: 10 , 10(0) ,60(0)
kl: 10 , 5(7) ,60(0)
kl: 10 , 10(0) ,60(0)
kl: 10 , 5(8) ,60(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 11 , 11(0) ,44(0)
kl: 12 , 6(9) ,60(0)
kl: 12 , 6(9) ,60(0)
kl: 12 , 6(11) ,60(0)
kl: 12 , 6(8) ,60(0)
kl: 12 , 6(8) ,60(0)
kl: 12 , 6(9) ,60(0)
kl: 12 , 6(9) ,60(0)
kl: 12 , 6(11) ,60(0)
kl: 12 , 6(8) ,60(0)
kl: 12 , 6(10) ,60(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 14 , 7(9) ,56(0)
kl: 14 , 7(7) ,56(0)
kl: 14 , 7(10) ,56(0)
kl: 14 , 7(11) ,56(0)
kl: 14 , 7(9) ,56(0)
kl: 14 , 7(9) ,56(0)
kl: 14 , 7(8) ,56(0)
kl: 14 , 7(9) ,56(0)
kl: 14 , 7(9) ,56(0)
kl: 14 , 7(8) ,56(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 15 , 15(0) ,60(0)
kl: 16 , 8(13) ,32(0)
kl: 16 , 8(12) ,32(0)
kl: 16 , 8(12) ,32(0)
kl: 16 , 8(10) ,32(0)
kl: 16 , 8(12) ,32(0)
kl: 16 , 8(12) ,32(0)
kl: 16 , 8(9) ,32(0)
kl: 16 , 8(12) ,32(0)
kl: 16 , 8(13) ,32(0)
kl: 16 , 8(10) ,32(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 17 , 17(0) ,17(0)
kl: 18 , 6(12) ,54(3)
kl: 18 , 6(15) ,54(3)
kl: 18 , 9(11) ,54(3)
kl: 18 , 6(16) ,54(3)
kl: 18 , 9(14) ,54(3)
kl: 18 , 6(16) ,54(3)
kl: 18 , 6(11) ,54(3)
kl: 18 , 6(14) ,54(3)
kl: 18 , 6(15) ,54(3)
kl: 18 , 6(15) ,54(3)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 19 , 19(0) ,38(1)
kl: 20 , 10(13) ,60(0)
kl: 20 , 10(16) ,60(0)
kl: 20 , 10(19) ,60(0)
kl: 20 , 10(13) ,60(0)
kl: 20 , 10(15) ,60(0)
kl: 20 , 10(15) ,60(0)
kl: 20 , 10(14) ,60(0)
kl: 20 , 10(16) ,60(0)
kl: 20 , 10(12) ,60(0)
kl: 20 , 10(15) ,60(0)
kl: 21 , 21(0) ,21(0)
kl: 21 , 7(17) ,21(0)
kl: 21 , 21(0) ,21(0)
kl: 21 , 7(18) ,21(0)
kl: 21 , 7(18) ,21(0)
kl: 21 , 7(18) ,21(0)
kl: 21 , 21(0) ,21(0)
kl: 21 , 7(19) ,21(0)
kl: 21 , 7(15) ,21(0)
kl: 21 , 7(20) ,21(0)
kl: 22 , 11(17) ,44(0)
kl: 22 , 11(15) ,44(0)
kl: 22 , 11(16) ,44(0)
kl: 22 , 11(18) ,44(0)
kl: 22 , 11(16) ,44(0)
kl: 22 , 11(18) ,44(0)
kl: 22 , 11(17) ,44(0)
kl: 22 , 11(18) ,44(0)
kl: 22 , 11(15) ,44(0)
kl: 22 , 11(18) ,44(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 23 , 23(0) ,46(0)
kl: 24 , 8(20) ,48(1)
kl: 24 , 6(22) ,48(1)
kl: 24 , 6(16) ,48(1)
kl: 24 , 8(21) ,48(1)
kl: 24 , 6(19) ,48(1)
kl: 24 , 8(17) ,48(1)
kl: 24 , 6(20) ,48(1)
kl: 24 , 6(22) ,48(1)
kl: 24 , 8(23) ,48(1)
kl: 24 , 8(17) ,48(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 5(24) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 25 , 25(0) ,50(1)
kl: 26 , 13(18) ,52(0)
kl: 26 , 13(18) ,52(0)
kl: 26 , 13(22) ,52(0)
kl: 26 , 13(14) ,52(0)
kl: 26 , 13(21) ,52(0)
kl: 26 , 13(19) ,52(0)
kl: 26 , 13(19) ,52(0)
kl: 26 , 13(16) ,52(0)
kl: 26 , 13(18) ,52(0)
kl: 26 , 13(14) ,52(0)
kl: 27 , 9(21) ,27(0)
kl: 27 , 9(21) ,27(0)
kl: 27 , 9(19) ,27(0)
kl: 27 , 9(23) ,27(0)
kl: 27 , 9(22) ,27(0)
kl: 27 , 9(23) ,27(0)
kl: 27 , 9(24) ,27(0)
kl: 27 , 9(21) ,27(0)
kl: 27 , 9(24) ,27(0)
kl: 27 , 9(23) ,27(0)
kl: 28 , 14(18) ,56(0)
kl: 28 , 14(22) ,56(0)
kl: 28 , 14(21) ,56(0)
kl: 28 , 14(19) ,56(0)
kl: 28 , 14(21) ,56(0)
kl: 28 , 14(22) ,56(0)
kl: 28 , 14(21) ,56(0)
kl: 28 , 14(21) ,56(0)
kl: 28 , 14(26) ,56(0)
kl: 28 , 14(22) ,56(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 29 , 29(0) ,29(0)
kl: 30 , 10(26) ,60(0)
kl: 30 , 10(26) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 30 , 10(26) ,60(0)
kl: 30 , 10(27) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 30 , 10(23) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 32 , 8(24) ,32(0)
kl: 32 , 8(26) ,32(0)
