kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 1 , 26(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 2 , 2(0) ,56(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 3 , 3(0) ,36(0)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 4 , 4(1) ,56(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 5 , 5(0) ,40(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 6 , 6(0) ,36(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 7 , 7(0) ,56(1)
kl: 8 , 4(7) ,56(2)
kl: 8 , 4(6) ,56(2)
kl: 8 , 4(8) ,56(2)
kl: 8 , 4(7) ,56(2)
kl: 8 , 4(6) ,56(2)
kl: 8 , 4(5) ,56(2)
kl: 8 , 4(8) ,56(2)
kl: 8 , 8(0) ,56(2)
kl: 8 , 4(6) ,56(2)
kl: 8 , 4(7) ,56(2)
kl: 9 , 9(0) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 9 , 3(6) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 9 , 9(0) ,36(1)
kl: 10 , 5(5) ,40(2)
kl: 10 , 10(0) ,40(2)
kl: 10 , 5(7) ,40(2)
kl: 10 , 10(0) ,40(2)
kl: 10 , 10(0) ,40(2)
kl: 10 , 5(6) ,40(2)
kl: 10 , 10(0) ,40(2)
kl: 10 , 5(8) ,40(2)
kl: 10 , 5(6) ,40(2)
kl: 10 , 5(8) ,40(2)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 12 , 6(9) ,36(1)
kl: 12 , 6(11) ,36(1)
kl: 12 , 6(9) ,36(1)
kl: 12 , 6(11) ,36(1)
kl: 12 , 6(8) ,36(1)
kl: 12 , 6(9) ,36(1)
kl: 12 , 6(10) ,36(1)
kl: 12 , 4(7) ,36(1)
kl: 12 , 6(10) ,36(1)
kl: 12 , 6(8) ,36(1)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 13 , 13(1) ,26(3)
kl: 14 , 7(7) ,56(3)
kl: 14 , 7(7) ,56(3)
kl: 14 , 7(7) ,56(3)
kl: 14 , 7(9) ,56(3)
kl: 14 , 7(11) ,56(3)
kl: 14 , 7(9) ,56(3)
kl: 14 , 7(9) ,56(3)
kl: 14 , 7(9) ,56(3)
kl: 14 , 7(10) ,56(3)
kl: 14 , 7(9) ,56(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 5(9) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 15 , 15(1) ,30(3)
kl: 16 , 8(11) ,16(0)
kl: 16 , 8(13) ,16(0)
kl: 16 , 8(11) ,16(0)
kl: 16 , 8(9) ,16(0)
kl: 16 , 8(11) ,16(0)
kl: 16 , 8(13) ,16(0)
kl: 16 , 8(11) ,16(0)
kl: 16 , 8(10) ,16(0)
kl: 16 , 8(10) ,16(0)
kl: 16 , 8(12) ,16(0)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 17 , 17(1) ,51(6)
kl: 18 , 6(15) ,36(2)
kl: 18 , 6(16) ,36(2)
kl: 18 , 6(16) ,36(2)
kl: 18 , 6(17) ,36(2)
kl: 18 , 9(13) ,36(2)
kl: 18 , 6(15) ,36(2)
kl: 18 , 6(15) ,36(2)
kl: 18 , 6(15) ,36(2)
kl: 18 , 6(10) ,36(2)
kl: 18 , 9(12) ,36(2)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 19 , 19(1) ,57(5)
kl: 20 , 10(10) ,40(4)
kl: 20 , 10(18) ,40(4)
kl: 20 , 10(12) ,40(4)
kl: 20 , 10(16) ,40(4)
kl: 20 , 10(17) ,40(4)
kl: 20 , 10(16) ,40(4)
kl: 20 , 10(16) ,40(4)
kl: 20 , 10(15) ,40(4)
kl: 20 , 10(17) ,40(4)
kl: 20 , 10(15) ,40(4)
kl: 21 , 7(17) ,42(4)
kl: 21 , 7(19) ,42(4)
kl: 21 , 7(16) ,42(4)
kl: 21 , 7(15) ,42(4)
kl: 21 , 7(18) ,42(4)
kl: 21 , 7(19) ,42(4)
kl: 21 , 7(15) ,42(4)
kl: 21 , 7(19) ,42(4)
kl: 21 , 7(19) ,42(4)
kl: 21 , 7(21) ,42(4)
kl: 22 , 11(18) ,44(5)
kl: 22 , 11(16) ,44(5)
kl: 22 , 11(15) ,44(5)
kl: 22 , 11(13) ,44(5)
kl: 22 , 11(15) ,44(5)
kl: 22 , 11(17) ,44(5)
kl: 22 , 11(18) ,44(5)
kl: 22 , 11(17) ,44(5)
kl: 22 , 11(16) ,44(5)
kl: 22 , 11(19) ,44(5)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 23 , 23(0) ,23(0)
kl: 24 , 8(19) ,24(2)
kl: 24 , 8(19) ,24(2)
kl: 24 , 8(16) ,24(2)
kl: 24 , 6(23) ,24(2)
kl: 24 , 6(21) ,24(2)
kl: 24 , 6(20) ,24(2)
kl: 24 , 8(23) ,24(2)
kl: 24 , 6(18) ,24(2)
kl: 24 , 8(19) ,24(2)
kl: 24 , 8(20) ,24(2)
kl: 25 , 25(2) ,25(2)
kl: 25 , 25(2) ,25(2)
kl: 25 , 25(2) ,25(2)
kl: 25 , 25(2) ,25(2)
kl: 25 , 5(23) ,25(2)
kl: 25 , 5(20) ,25(2)
kl: 25 , 25(2) ,25(2)
kl: 25 , 5(19) ,25(2)
kl: 25 , 25(2) ,25(2)
kl: 25 , 25(2) ,25(2)
kl: 26 , 13(22) ,26(5)
kl: 26 , 13(19) ,26(5)
kl: 26 , 13(23) ,26(5)
kl: 26 , 13(19) ,26(5)
kl: 26 , 13(22) ,26(5)
kl: 26 , 13(19) ,26(5)
kl: 26 , 13(19) ,26(5)
kl: 26 , 13(23) ,26(5)
kl: 26 , 13(22) ,26(5)
kl: 26 , 13(17) ,26(5)
kl: 27 , 9(23) ,54(8)
kl: 27 , 9(22) ,54(8)
kl: 27 , 9(21) ,54(8)
kl: 27 , 9(19) ,54(8)
kl: 27 , 9(22) ,54(8)
kl: 27 , 9(21) ,54(8)
kl: 27 , 9(22) ,54(8)
kl: 27 , 9(23) ,54(8)
kl: 27 , 9(23) ,54(8)
kl: 27 , 9(24) ,54(8)
kl: 28 , 14(21) ,56(9)
kl: 28 , 14(20) ,56(9)
kl: 28 , 14(23) ,56(9)
kl: 28 , 14(16) ,56(9)
kl: 28 , 14(20) ,56(9)
kl: 28 , 14(25) ,56(9)
kl: 28 , 14(20) ,56(9)
kl: 28 , 14(26) ,56(9)
kl: 28 , 14(25) ,56(9)
kl: 28 , 14(22) ,56(9)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 29 , 29(3) ,29(3)
kl: 30 , 10(23) ,30(5)
kl: 30 , 10(24) ,30(5)
kl: 30 , 10(22) ,30(5)
kl: 30 , 10(25) ,30(5)
kl: 30 , 10(27) ,30(5)
kl: 30 , 10(22) ,30(5)
