kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 1 , 2(1) ,59(1)
kl: 2 , 2(2) ,53(2)
kl: 2 , 2(2) ,53(2)
kl: 2 , 2(2) ,53(1)
kl: 2 , 2(2) ,53(2)
kl: 2 , 2(2) ,53(2)
kl: 2 , 2(2) ,53(1)
kl: 2 , 2(2) ,53(2)
kl: 2 , 2(2) ,59(2)
kl: 2 , 2(2) ,53(1)
kl: 2 , 2(2) ,53(2)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 3 , 3(2) ,27(1)
kl: 4 , 2(3) ,24(4)
kl: 4 , 2(3) ,24(4)
kl: 4 , 2(4) ,24(4)
kl: 4 , 2(3) ,24(4)
kl: 4 , 2(3) ,24(4)
kl: 4 , 2(4) ,24(4)
kl: 4 , 2(3) ,24(4)
kl: 4 , 2(4) ,24(4)
kl: 4 , 2(3) ,24(4)
kl: 4 , 2(3) ,24(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 5 , 5(4) ,45(4)
kl: 6 , 2(5) ,36(3)
kl: 6 , 2(6) ,36(3)
kl: 6 , 2(4) ,36(3)
kl: 6 , 2(5) ,36(3)
kl: 6 , 2(6) ,36(3)
kl: 6 , 2(5) ,36(3)
kl: 6 , 2(5) ,36(3)
kl: 6 , 2(6) ,36(3)
kl: 6 , 2(4) ,36(3)
kl: 6 , 2(6) ,36(3)
kl: 7 , 7(4) ,43(7)
kl: 7 , 7(4) ,43(7)
kl: 7 , 7(4) ,43(6)
kl: 7 , 7(4) ,43(7)
kl: 7 , 7(4) ,43(5)
kl: 7 , 7(4) ,43(6)
kl: 7 , 7(4) ,43(7)
kl: 7 , 7(4) ,43(7)
kl: 7 , 7(4) ,43(7)
kl: 7 , 7(4) ,43(7)
kl: 8 , 2(6) ,24(8)
kl: 8 , 2(8) ,24(8)
kl: 8 , 2(7) ,24(8)
kl: 8 , 2(8) ,24(8)
kl: 8 , 2(8) ,24(8)
kl: 8 , 2(8) ,24(8)
kl: 8 , 2(8) ,24(8)
kl: 8 , 2(7) ,24(8)
kl: 8 , 2(6) ,24(8)
kl: 8 , 2(8) ,24(8)
kl: 9 , 3(7) ,27(6)
kl: 9 , 3(6) ,27(6)
kl: 9 , 3(9) ,27(6)
kl: 9 , 3(9) ,27(6)
kl: 9 , 3(8) ,27(6)
kl: 9 , 3(7) ,27(6)
kl: 9 , 3(8) ,27(6)
kl: 9 , 3(8) ,27(6)
kl: 9 , 3(8) ,27(6)
kl: 9 , 3(8) ,27(6)
kl: 10 , 2(9) ,30(8)
kl: 10 , 2(8) ,30(8)
kl: 10 , 5(8) ,30(8)
kl: 10 , 2(8) ,30(8)
kl: 10 , 2(9) ,30(8)
kl: 10 , 2(10) ,30(8)
kl: 10 , 2(8) ,30(8)
kl: 10 , 2(9) ,30(8)
kl: 10 , 2(7) ,30(8)
kl: 10 , 2(9) ,30(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 11 , 11(7) ,33(8)
kl: 12 , 2(9) ,36(9)
kl: 12 , 2(10) ,36(9)
kl: 12 , 2(11) ,36(9)
kl: 12 , 2(10) ,36(9)
kl: 12 , 2(12) ,36(9)
kl: 12 , 2(11) ,36(9)
kl: 12 , 2(11) ,36(9)
kl: 12 , 2(11) ,36(9)
kl: 12 , 2(11) ,36(9)
kl: 12 , 2(11) ,36(9)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 13 , 13(10) ,52(8)
kl: 14 , 2(14) ,43(13)
kl: 14 , 2(14) ,43(12)
kl: 14 , 2(14) ,43(14)
kl: 14 , 2(13) ,43(13)
kl: 14 , 2(11) ,43(12)
kl: 14 , 2(14) ,43(14)
kl: 14 , 2(10) ,43(12)
kl: 14 , 2(14) ,43(13)
kl: 14 , 2(12) ,43(13)
kl: 14 , 2(13) ,43(13)
kl: 15 , 3(13) ,45(12)
kl: 15 , 3(14) ,45(12)
kl: 15 , 5(12) ,45(12)
kl: 15 , 5(12) ,45(12)
kl: 15 , 3(14) ,45(12)
kl: 15 , 3(13) ,45(12)
kl: 15 , 3(14) ,45(12)
kl: 15 , 3(14) ,45(12)
kl: 15 , 3(13) ,45(12)
kl: 15 , 3(14) ,45(12)
kl: 16 , 2(14) ,24(15)
kl: 16 , 2(15) ,24(16)
kl: 16 , 2(15) ,24(16)
kl: 16 , 2(15) ,24(14)
kl: 16 , 2(15) ,24(15)
kl: 16 , 2(16) ,24(16)
kl: 16 , 2(15) ,24(15)
kl: 16 , 2(13) ,24(13)
kl: 16 , 2(15) ,24(13)
kl: 16 , 2(13) ,24(14)
kl: 17 , 17(14) ,25(16)
kl: 17 , 17(14) ,25(16)
kl: 17 , 17(14) ,25(16)
kl: 17 , 17(14) ,25(17)
kl: 17 , 17(14) ,25(17)
kl: 17 , 17(14) ,25(16)
kl: 17 , 17(14) ,25(16)
kl: 17 , 17(14) ,25(17)
kl: 17 , 17(14) ,25(17)
kl: 17 , 17(14) ,25(14)
kl: 18 , 2(14) ,36(13)
kl: 18 , 2(17) ,36(13)
kl: 18 , 2(18) ,36(13)
kl: 18 , 2(16) ,36(13)
kl: 18 , 2(17) ,36(13)
kl: 18 , 2(15) ,36(13)
kl: 18 , 2(16) ,36(13)
kl: 18 , 2(17) ,36(13)
kl: 18 , 2(17) ,36(13)
kl: 18 , 2(16) ,36(13)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 19 , 19(14) ,19(14)
kl: 20 , 2(18) ,20(14)
kl: 20 , 2(19) ,20(14)
kl: 20 , 2(18) ,20(14)
kl: 20 , 5(17) ,20(14)
kl: 20 , 2(19) ,20(14)
kl: 20 , 2(20) ,20(14)
kl: 20 , 2(18) ,20(14)
kl: 20 , 2(19) ,20(14)
kl: 20 , 2(16) ,20(14)
kl: 20 , 2(18) ,20(14)
kl: 21 , 3(17) ,27(21)
kl: 21 , 3(19) ,27(20)
kl: 21 , 3(20) ,27(19)
kl: 21 , 3(16) ,27(20)
kl: 21 , 3(20) ,27(19)
kl: 21 , 3(19) ,27(19)
kl: 21 , 3(20) ,27(21)
kl: 21 , 3(19) ,27(19)
kl: 21 , 3(20) ,27(21)
kl: 21 , 3(18) ,27(19)
kl: 22 , 2(22) ,33(22)
kl: 22 , 2(21) ,33(22)
kl: 22 , 2(21) ,33(22)
kl: 22 , 2(21) ,33(20)
kl: 22 , 2(21) ,33(21)
kl: 22 , 2(21) ,33(20)
kl: 22 , 2(19) ,33(19)
kl: 22 , 2(20) ,33(21)
kl: 22 , 2(21) ,33(21)
kl: 22 , 2(22) ,33(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 23 , 23(20) ,23(20)
kl: 24 , 2(24) ,24(19)
kl: 24 , 2(22) ,24(19)
kl: 24 , 2(23) ,24(19)
kl: 24 , 2(23) ,24(19)
kl: 24 , 2(21) ,24(19)
kl: 24 , 2(22) ,24(19)
kl: 24 , 2(23) ,24(19)
kl: 24 , 2(21) ,24(19)
kl: 24 , 2(23) ,24(19)
kl: 24 , 2(21) ,24(19)
kl: 25 , 5(24) ,25(20)
kl: 25 , 5(24) ,25(20)
kl: 25 , 5(22) ,25(20)
kl: 25 , 5(23) ,25(20)
kl: 25 , 5(21) ,25(20)
kl: 25 , 5(23) ,25(20)
kl: 25 , 5(24) ,25(20)
kl: 25 , 5(23) ,25(20)
kl: 25 , 5(24) ,25(20)
kl: 25 , 5(25) ,25(20)
kl: 26 , 2(26) ,52(20)
kl: 26 , 2(26) ,52(20)
kl: 26 , 2(25) ,52(20)
kl: 26 , 2(25) ,52(20)
kl: 26 , 2(25) ,52(20)
kl: 26 , 2(23) ,52(20)
kl: 26 , 2(25) ,52(20)
kl: 26 , 2(21) ,52(20)
kl: 26 , 2(25) ,52(20)
kl: 26 , 2(24) ,52(20)
