kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 1 , 2(0) ,7(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 3 , 3(0) ,9(0)
kl: 4 , 2(3) ,20(0)
kl: 4 , 2(3) ,20(0)
kl: 4 , 2(2) ,20(0)
kl: 4 , 2(3) ,20(0)
kl: 4 , 2(3) ,20(0)
kl: 4 , 2(2) ,20(0)
kl: 4 , 2(4) ,20(0)
kl: 4 , 2(4) ,20(0)
kl: 4 , 2(2) ,20(0)
kl: 4 , 2(4) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 5 , 5(0) ,20(0)
kl: 6 , 2(5) ,6(0)
kl: 6 , 2(6) ,6(0)
kl: 6 , 2(5) ,6(0)
kl: 6 , 2(6) ,6(0)
kl: 6 , 2(6) ,6(0)
kl: 6 , 2(5) ,6(0)
kl: 6 , 2(4) ,6(0)
kl: 6 , 2(5) ,6(0)
kl: 6 , 2(5) ,6(0)
kl: 6 , 2(6) ,6(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 7 , 7(0) ,14(0)
kl: 8 , 2(8) ,8(0)
kl: 8 , 2(5) ,8(0)
kl: 8 , 2(8) ,8(0)
kl: 8 , 2(7) ,8(0)
kl: 8 , 2(6) ,8(0)
kl: 8 , 2(6) ,8(0)
kl: 8 , 2(7) ,8(0)
kl: 8 , 2(6) ,8(0)
kl: 8 , 2(8) ,8(0)
kl: 8 , 2(7) ,8(0)
kl: 9 , 3(8) ,9(0)
kl: 9 , 3(9) ,9(0)
kl: 9 , 3(7) ,9(0)
kl: 9 , 3(8) ,9(0)
kl: 9 , 3(8) ,9(0)
kl: 9 , 3(8) ,9(0)
kl: 9 , 3(8) ,9(0)
kl: 9 , 3(6) ,9(0)
kl: 9 , 3(9) ,9(0)
kl: 9 , 3(7) ,9(0)
kl: 10 , 2(9) ,20(0)
kl: 10 , 2(9) ,20(0)
kl: 10 , 2(9) ,20(0)
kl: 10 , 2(10) ,20(0)
kl: 10 , 2(9) ,20(0)
kl: 10 , 2(10) ,20(0)
kl: 10 , 2(7) ,20(0)
kl: 10 , 2(9) ,20(0)
kl: 10 , 2(9) ,20(0)
kl: 10 , 2(10) ,20(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 11 , 11(0) ,55(0)
kl: 12 , 2(11) ,36(0)
kl: 12 , 2(11) ,36(0)
kl: 12 , 2(12) ,36(0)
kl: 12 , 2(8) ,36(0)
kl: 12 , 2(9) ,36(0)
kl: 12 , 2(9) ,36(0)
kl: 12 , 2(9) ,36(0)
kl: 12 , 2(10) ,36(0)
kl: 12 , 2(10) ,36(0)
kl: 12 , 2(9) ,36(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
kl: 13 , 13(0) ,52(0)
