kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 1 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 2 , 2(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 4 , 2(4) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 4 , 2(4) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 4 , 2(3) ,20(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 5 , 5(0) ,15(1)
kl: 6 , 2(5) ,24(2)
kl: 6 , 2(4) ,24(2)
kl: 6 , 2(5) ,24(2)
kl: 6 , 2(5) ,24(2)
kl: 6 , 2(4) ,24(2)
kl: 6 , 2(6) ,24(2)
kl: 6 , 3(4) ,24(2)
kl: 6 , 2(4) ,24(2)
kl: 6 , 2(6) ,24(2)
kl: 6 , 2(5) ,24(2)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 8 , 2(8) ,32(1)
kl: 8 , 2(5) ,32(1)
kl: 8 , 2(6) ,32(1)
kl: 8 , 2(5) ,32(1)
kl: 8 , 2(6) ,32(1)
kl: 8 , 2(7) ,32(1)
kl: 8 , 2(6) ,32(1)
kl: 8 , 2(8) ,32(1)
kl: 8 , 2(7) ,32(1)
kl: 8 , 2(7) ,32(1)
kl: 9 , 3(8) ,36(1)
kl: 9 , 3(8) ,36(1)
kl: 9 , 3(9) ,36(1)
kl: 9 , 3(8) ,36(1)
kl: 9 , 3(8) ,36(1)
kl: 9 , 3(8) ,36(1)
kl: 9 , 3(8) ,36(1)
kl: 9 , 3(7) ,36(1)
kl: 9 , 3(5) ,36(1)
kl: 9 , 3(8) ,36(1)
kl: 10 , 2(9) ,20(1)
kl: 10 , 2(7) ,20(1)
kl: 10 , 2(9) ,20(1)
kl: 10 , 2(8) ,20(1)
kl: 10 , 2(8) ,20(1)
kl: 10 , 2(8) ,20(1)
kl: 10 , 2(10) ,20(1)
kl: 10 , 2(9) ,20(1)
kl: 10 , 2(10) ,20(1)
kl: 10 , 2(9) ,20(1)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,33(1)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
kl: 11 , 11(0) ,55(4)
