kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 1 , 2(0) ,8(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 2 , 2(0) ,14(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 3 , 3(0) ,12(0)
kl: 4 , 2(3) ,8(0)
kl: 4 , 2(3) ,8(0)
kl: 4 , 2(3) ,8(0)
kl: 4 , 2(2) ,8(0)
kl: 4 , 2(3) ,8(0)
kl: 4 , 2(2) ,8(0)
kl: 4 , 2(2) ,8(0)
kl: 4 , 2(4) ,8(0)
kl: 4 , 2(2) ,8(0)
kl: 4 , 2(3) ,8(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 5 , 5(0) ,30(0)
kl: 6 , 2(4) ,24(0)
kl: 6 , 2(5) ,24(0)
kl: 6 , 2(6) ,24(0)
kl: 6 , 2(5) ,24(0)
kl: 6 , 2(5) ,24(0)
kl: 6 , 2(6) ,24(0)
kl: 6 , 2(5) ,24(0)
kl: 6 , 2(6) ,24(0)
kl: 6 , 2(4) ,24(0)
kl: 6 , 2(5) ,24(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 7 , 7(0) ,28(0)
kl: 8 , 2(5) ,24(0)
kl: 8 , 2(7) ,24(0)
kl: 8 , 2(8) ,24(0)
kl: 8 , 2(8) ,24(0)
kl: 8 , 2(5) ,24(0)
kl: 8 , 2(8) ,24(0)
kl: 8 , 2(8) ,24(0)
kl: 8 , 2(7) ,24(0)
kl: 8 , 2(8) ,24(0)
kl: 8 , 2(7) ,24(0)
kl: 9 , 3(7) ,18(0)
kl: 9 , 3(8) ,18(0)
kl: 9 , 3(8) ,9(0)
kl: 9 , 3(9) ,9(0)
kl: 9 , 3(8) ,9(0)
kl: 9 , 3(5) ,9(0)
kl: 9 , 3(7) ,9(0)
kl: 9 , 3(7) ,9(0)
kl: 9 , 3(4) ,9(0)
kl: 9 , 3(7) ,18(0)
kl: 10 , 2(10) ,20(0)
kl: 10 , 2(8) ,30(0)
kl: 10 , 2(9) ,20(0)
kl: 10 , 2(8) ,20(0)
kl: 10 , 2(7) ,20(0)
kl: 10 , 2(7) ,20(0)
